,id,name,age,number,position,photo,batch_timestamp
1861,278232,P. Ekwah,21.0,39.0,Midfielder,https://media.api-sports.io/football/players/278232.png,2024-07-17 18:47:02.115907
1862,287994,Abdoul Hate Bane,,,Unknown,https://media.api-sports.io/football/players/287994.png,2022-03-13 16:50:32.623255
1863,163208,Carles Soler,23.0,27.0,Defender,https://media-1.api-sports.io/football/players/163208.png,2023-08-14 18:30:12.457224
1864,332315,Alejandro Alfaro,21.0,32.0,Midfielder,https://media-3.api-sports.io/football/players/332315.png,2023-08-14 18:30:12.457224
1865,946,K. Mbabu,28.0,,Defender,https://media.api-sports.io/football/players/946.png,2024-06-08 05:15:32.699520
1866,7197,A. Andrade,25.0,16.0,Defender,https://media.api-sports.io/football/players/7197.png,2024-07-07 18:46:25.809250
1867,50873,G. Bello,21.0,2.0,Defender,https://media.api-sports.io/football/players/50873.png,2024-07-07 18:46:25.809250
1868,499,J. Boateng,35.0,,Defender,https://media.api-sports.io/football/players/499.png,2024-07-07 18:46:25.809250
1869,162718,M. Bogarde,21.0,,Defender,https://media.api-sports.io/football/players/162718.png,2024-07-07 18:46:25.809250
1870,1851,V. Berisha,30.0,14.0,Midfielder,https://media.api-sports.io/football/players/1851.png,2024-07-07 18:46:25.809250
1871,128988,N. Jaby,22.0,29.0,Midfielder,https://media.api-sports.io/football/players/128988.png,2024-01-09 18:30:23.343276
1872,25138,M. Koné,27.0,11.0,Attacker,https://media.api-sports.io/football/players/25138.png,2024-07-07 18:46:25.809250
1873,47095,Nano,27.0,23.0,Attacker,https://media.api-sports.io/football/players/47095.png,2022-05-27 18:30:48.093530
1874,22156,A. Taoui,22.0,44.0,Attacker,https://media.api-sports.io/football/players/22156.png,2024-07-07 18:46:25.809250
1875,3415,L. Agbenyenu,27.0,3.0,Defender,https://media.api-sports.io/football/players/3415.png,2024-07-07 18:46:29.411882
1876,189831,Arana,21.0,,Goalkeeper,https://media-2.api-sports.io/football/players/189831.png,2023-08-05 18:30:11.355109
1877,20944,Jérôme Hergault,36.0,14.0,Defender,https://media.api-sports.io/football/players/20944.png,2022-05-21 18:30:49.470833
1878,182713,Diego Fuoli,26.0,,Goalkeeper,https://media-2.api-sports.io/football/players/182713.png,2023-08-05 18:30:11.355109
1879,25356,P. Skjelbred,36.0,5.0,Midfielder,https://media.api-sports.io/football/players/25356.png,2024-02-06 18:41:18.672638
1880,25018,N. Seufert,26.0,11.0,Midfielder,https://media.api-sports.io/football/players/25018.png,2024-07-07 18:46:29.411882
1881,281340,Herculano Nabian,19.0,,Attacker,https://media.api-sports.io/football/players/281340.png,2024-03-26 18:36:49.781099
1882,18920,J. Benson,24.0,10.0,Midfielder,https://media.api-sports.io/football/players/18920.png,2024-07-17 18:47:03.977549
1883,19188,C. Hourihane,32.0,,Midfielder,https://media.api-sports.io/football/players/19188.png,2024-07-17 18:47:03.977549
1884,1861,F. Caicedo,35.0,20.0,Attacker,https://media-4.api-sports.io/football/players/1861.png,2023-09-18 18:43:16.540379
1885,280880,Jonathan Spedalieri,20.0,6.0,Defender,https://media.api-sports.io/football/players/280880.png,2022-05-15 18:30:48.352492
1886,46,Vitolo,34.0,23.0,Midfielder,https://media-2.api-sports.io/football/players/46.png,2023-08-14 18:30:12.353863
1887,181822,E. Wady,21.0,,Goalkeeper,https://media-2.api-sports.io/football/players/181822.png,2023-05-28 18:30:12.066845
1888,1256,V. Jovanović,27.0,18.0,Defender,https://media.api-sports.io/football/players/1256.png,2024-07-11 18:44:02.595189
1889,284427,L. Payne,19.0,2.0,Defender,https://media.api-sports.io/football/players/284427.png,2024-01-28 18:30:36.514602
1890,1571,Francisco Javier  García Fernández,35.0,6.0,Midfielder,https://media.api-sports.io/football/players/1571.png,2022-05-14 18:30:48.756863
1891,47452,E. Cabaco,28.0,18.0,Defender,https://media.api-sports.io/football/players/47452.png,2024-05-18 18:32:23.237366
1892,18858,A. Begović,36.0,1.0,Goalkeeper,https://media.api-sports.io/football/players/18858.png,2024-05-04 18:35:28.557141
1893,156480,Victor Gómez,,,Unknown,https://media.api-sports.io/football/players/156480.png,2022-03-13 16:50:32.623255
1894,350073,Marcos Fernández,20.0,,Defender,https://media.api-sports.io/football/players/350073.png,2024-07-17 18:47:07.537511
1895,18899,I. Hayden,28.0,14.0,Midfielder,https://media.api-sports.io/football/players/18899.png,2024-05-04 18:35:28.557141
1896,116438,Carlos Marín,26.0,,Goalkeeper,https://media-2.api-sports.io/football/players/116438.png,2023-08-19 18:30:12.505741
1897,182731,Picón,23.0,,Goalkeeper,https://media-3.api-sports.io/football/players/182731.png,2023-08-19 18:30:12.505741
1898,185599,Calderón,23.0,,Defender,https://media-1.api-sports.io/football/players/185599.png,2023-08-19 18:30:12.505741
1899,18994,L. Peltier,37.0,21.0,Defender,https://media.api-sports.io/football/players/18994.png,2024-05-04 18:35:30.516733
1900,181218,Álex Sala,22.0,,Midfielder,https://media-3.api-sports.io/football/players/181218.png,2023-08-19 18:30:12.505741
1901,278123,S. Revan,20.0,28.0,Defender,https://media.api-sports.io/football/players/278123.png,2024-05-04 18:35:30.516733
1902,40401,Cafú,30.0,7.0,Midfielder,https://media.api-sports.io/football/players/40401.png,2024-05-04 18:35:30.516733
1903,30805,V. Behrami,37.0,30.0,Midfielder,https://media.api-sports.io/football/players/30805.png,2022-07-23 18:30:47.159949
1904,30489,R. Palacio,40.0,8.0,Attacker,https://media.api-sports.io/football/players/30489.png,2022-07-23 18:30:47.159949
1905,350364,Iván Sanz,19.0,38.0,Goalkeeper,https://media.api-sports.io/football/players/350364.png,2022-07-20 18:30:47.626440
1906,26306,G. Castro,35.0,7.0,Midfielder,https://media.api-sports.io/football/players/26306.png,2022-05-14 18:30:49.047940
1907,273315,Julian Philipp Frommann,19.0,42.0,Midfielder,https://media.api-sports.io/football/players/273315.png,2022-05-14 18:30:49.047940
1908,41125,Heriberto Tavares,26.0,91.0,Attacker,https://media.api-sports.io/football/players/41125.png,2024-05-18 18:32:23.237366
1909,184743,Santi García,22.0,,Midfielder,https://media.api-sports.io/football/players/184743.png,2024-07-17 18:47:07.537511
1910,19173,M. Šarkić,26.0,,Goalkeeper,https://media.api-sports.io/football/players/19173.png,2024-06-08 05:15:36.796675
1911,135749,Félix Correia,22.0,70.0,Attacker,https://media.api-sports.io/football/players/135749.png,2024-07-17 18:47:07.537511
1912,182685,Diego Collado,22.0,,Attacker,https://media.api-sports.io/football/players/182685.png,2024-07-17 18:47:07.537511
1913,39,S. Savić,32.0,,Defender,https://media.api-sports.io/football/players/39.png,2024-06-08 05:15:36.796675
1914,121,S. Jovetić,34.0,,Attacker,https://media.api-sports.io/football/players/121.png,2024-06-08 05:15:36.796675
1915,66817,N. Krstović,23.0,,Attacker,https://media.api-sports.io/football/players/66817.png,2024-06-08 05:15:36.796675
1916,1224,A. Kokorin,32.0,9.0,Attacker,https://media.api-sports.io/football/players/1224.png,2024-07-17 18:47:09.357605
1917,25410,J. Guilavogui,33.0,23.0,Midfielder,https://media.api-sports.io/football/players/25410.png,2024-07-10 18:35:20.603437
1918,26,M. Wolf,28.0,17.0,Midfielder,https://media.api-sports.io/football/players/26.png,2024-07-10 18:35:22.356509
1919,22085,M. Debuchy,38.0,26.0,Defender,https://media-2.api-sports.io/football/players/22085.png,2023-07-17 18:30:12.698722
1920,138919,T. Dickson-Peters,20.0,,Attacker,https://media.api-sports.io/football/players/138919.png,2024-01-08 18:30:52.886206
1921,2549,L. Vigouroux,30.0,,Goalkeeper,https://media.api-sports.io/football/players/2549.png,2024-06-08 05:15:38.818648
1922,32090,Andrea Ghezzi,,,Unknown,https://media.api-sports.io/football/players/32090.png,2022-03-13 16:50:32.623255
1923,710,K. Adams,28.0,15.0,Defender,https://media.api-sports.io/football/players/710.png,2024-07-10 18:35:25.936626
1924,25397,J. Brooks,30.0,23.0,Defender,https://media.api-sports.io/football/players/25397.png,2024-07-10 18:35:25.936626
1925,1983,E. Roco,31.0,,Defender,https://media.api-sports.io/football/players/1983.png,2024-06-08 05:15:38.818648
1926,184605,Álvaro Aguirre,23.0,,Attacker,https://media-1.api-sports.io/football/players/184605.png,2023-08-05 18:30:11.355109
1927,151,A. Vidal,36.0,,Midfielder,https://media.api-sports.io/football/players/151.png,2024-06-08 05:15:38.818648
1928,1298,R. Skov,27.0,29.0,Attacker,https://media.api-sports.io/football/players/1298.png,2024-07-10 18:35:25.936626
1929,177841,Dudu,24.0,38.0,Goalkeeper,https://media.api-sports.io/football/players/177841.png,2024-07-10 18:35:27.696713
1930,18977,D. Stephens,33.0,16.0,Midfielder,https://media.api-sports.io/football/players/18977.png,2022-05-22 18:30:49.106962
1931,18925,A. Lennon,35.0,17.0,Midfielder,https://media.api-sports.io/football/players/18925.png,2022-05-22 18:30:49.106962
1932,793,Diego Perotti,34.0,88.0,Midfielder,https://media.api-sports.io/football/players/793.png,2022-05-22 18:30:49.064494
1933,288775,D. Franco,20.0,77.0,Defender,https://media.api-sports.io/football/players/288775.png,2022-07-26 18:30:48.181832
1934,2192,T. Koubek,31.0,40.0,Goalkeeper,https://media.api-sports.io/football/players/2192.png,2024-07-10 18:35:31.255434
1935,630,Fabian Delph,33.0,8.0,Midfielder,https://media.api-sports.io/football/players/630.png,2022-05-22 18:30:49.106962
1936,24809,L. Schaub,29.0,,Midfielder,https://media.api-sports.io/football/players/24809.png,2024-07-17 18:47:20.415403
1937,182434,D. Beljo,21.0,,Attacker,https://media.api-sports.io/football/players/182434.png,2024-07-17 18:47:20.415403
1938,420,G. Burgstaller,34.0,9.0,Attacker,https://media.api-sports.io/football/players/420.png,2024-07-17 18:47:20.415403
1939,284185,C. Whitaker,19.0,57.0,Midfielder,https://media.api-sports.io/football/players/284185.png,2022-05-22 18:30:49.106962
1940,1857,Marco Parolo,,,Unknown,https://media.api-sports.io/football/players/1857.png,2022-03-13 16:50:32.623255
1941,19522,K. Pedersen,29.0,3.0,Defender,https://media.api-sports.io/football/players/19522.png,2024-05-04 18:35:32.513293
1942,21698,Fouad Chafik,,,Unknown,https://media.api-sports.io/football/players/21698.png,2022-03-13 16:50:32.623255
1943,4145,S. Simoni,19.0,,Goalkeeper,https://media.api-sports.io/football/players/4145.png,2024-07-17 18:47:22.235588
1944,362884,Kauã Santos,20.0,,Goalkeeper,https://media.api-sports.io/football/players/362884.png,2024-07-17 18:47:22.235588
1945,382492,Elias Baum,17.0,2.0,Defender,https://media.api-sports.io/football/players/382492.png,2024-07-17 18:47:22.235588
1946,280043,D. Gebuhr,20.0,4.0,Defender,https://media.api-sports.io/football/players/280043.png,2024-07-17 18:47:22.235588
1947,269531,N. Collins,19.0,33.0,Defender,https://media.api-sports.io/football/players/269531.png,2024-07-17 18:47:22.235588
1948,12765,Graziano Pellè,,,Unknown,https://media.api-sports.io/football/players/12765.png,2022-03-13 16:50:32.623255
1949,1447,Nacho Monreal,36.0,20.0,Defender,https://media.api-sports.io/football/players/1447.png,2022-05-22 18:30:48.907149
1950,21399,Mamadou Camara,34.0,4.0,Defender,https://media.api-sports.io/football/players/21399.png,2022-07-14 07:04:14.703175
1951,917,Ezequiel Garay,,,Unknown,https://media.api-sports.io/football/players/917.png,2022-03-13 16:50:32.623255
1952,1248,J. Zmrhal,30.0,8.0,Midfielder,https://media.api-sports.io/football/players/1248.png,2024-06-29 18:41:04.539312
1953,21591,A. Delort,32.0,9.0,Attacker,https://media-4.api-sports.io/football/players/21591.png,2023-12-21 18:30:36.606802
1954,84087,W. Isidor,23.0,10.0,Attacker,https://media.api-sports.io/football/players/84087.png,2024-07-08 18:43:57.270344
1955,638,I. Poveda,23.0,36.0,Attacker,https://media.api-sports.io/football/players/638.png,2024-05-04 18:35:32.513293
1956,191,Kwadwo Asamoah,,,Unknown,https://media.api-sports.io/football/players/191.png,2022-03-13 16:50:32.623255
1957,19079,Alexander Tettey,,,Unknown,https://media.api-sports.io/football/players/19079.png,2022-03-13 16:50:32.623255
1958,31017,A. Barillà,34.0,23.0,Midfielder,https://media.api-sports.io/football/players/31017.png,2022-05-06 18:30:48.531730
1959,314273,S. Raebiger,18.0,37.0,Midfielder,https://media.api-sports.io/football/players/314273.png,2024-07-17 18:47:22.235588
1960,353943,Nacho Ferri,19.0,9.0,Attacker,https://media.api-sports.io/football/players/353943.png,2024-07-17 18:47:22.235588
